AVG_CRASHES,CORRIDOR,CORR_ENDMP,CORR_MP,DEPT_ID,PER_100M_VMT,SEC_LNT_MI,SEGMENT_KEY,SIGNED_ROUTE,TOTAL_CRASHES,TYC_AADT
2.2,C000472,019+0.423,007+0.270,S-472,167.85489214484747,11.943,C000472_007+0.270_019+0.423_S-472,S-472,11,300.5
2.6,C000472,007+0.270,000+0.000,S-472,202.19197934882342,7.272,C000472_000+0.000_007+0.270_S-472,S-472,13,484.2
0.4,C000471,018+0.709,014+0.153,S-471,247.73260380904046,4.558,C000471_014+0.153_018+0.709_S-471,S-471,2,97
0.6,C000471,014+0.153,010+0.871,S-471,332.8205530093058,3.28,C000471_010+0.871_014+0.153_S-471,S-471,3,150.5
2.4,C000471,001+0.496,000+0.000,S-471,344.89075116405456,1.498,C000471_000+0.000_001+0.496_S-471,S-471,12,1272
4.2,C000571,001+0.169,000+0.000,S-571,711.9565643680826,1.168,C000571_000+0.000_001+0.169_S-571,S-571,21,1383
0.0,C000470,024+0.040,018+0.049,S-470,0.0,5.989,C000470_018+0.049_024+0.040_S-470,S-470,0,24.666666666666668
0.0,C000470,018+0.049,007+0.377,S-470,0.0,10.669,C000470_007+0.377_018+0.049_S-470,S-470,0,13.5
0.0,C000467,003+0.005,000+0.000,S-467,0.0,2.996,C000467_000+0.000_003+0.005_S-467,S-467,0,102.2
0.6,C000466,002+0.137,000+0.000,S-466,353.064824479652,2.161,C000466_000+0.000_002+0.137_S-466,S-466,3,215.33333333333334
2.2,C000464,033+0.674,023+1.002,S-464,92.50448800632628,9.686,C000464_023+1.002_033+0.674_S-464,S-464,11,672.3333333333334
0.6,C000464,023+1.002,018+0.779,S-464,48.69212210571146,5.209,C000464_018+0.779_023+1.002_S-464,S-464,3,647.75
1.6,C000464,018+0.779,010+0.322,S-464,78.88980336195841,8.44,C000464_010+0.322_018+0.779_S-464,S-464,8,658
1.4,C000464,010+0.322,001+0.300,S-464,38.086503461934605,9.011,C000464_001+0.300_010+0.322_S-464,S-464,7,1117
0.2,C000464,000+0.785,000+0.344,S-464,25.708395519821156,0.442,C000464_000+0.344_000+0.785_S-464,S-464,1,4819.5
0.2,C000464,000+0.344,000+0.000,S-464,25.93834145639739,0.344,C000464_000+0.000_000+0.344_S-464,S-464,1,6137.6
0.2,C000463,006+0.083,001+0.607,S-463,29.396374627338872,4.433,C000463_001+0.607_006+0.083_S-463,S-463,1,420.25
0.2,C000463,000+0.800,000+0.056,S-463,120.02970379881098,0.744,C000463_000+0.056_000+0.800_S-463,S-463,1,613.25
0.0,C000463,000+0.056,000+0.000,S-463,0.0,0.056,C000463_000+0.000_000+0.056_S-463,S-463,0,613.25
0.0,C000462,038+0.473,033+0.346,S-462,0.0,5.121,C000462_033+0.346_038+0.473_S-462,S-462,0,19.5
0.0,C000462,018+0.254,002+0.164,S-462,0.0,16.071,C000462_002+0.164_018+0.254_S-462,S-462,0,50
0.0,C000528,018+0.809,006+0.871,S-528,0.0,11.916,C000528_006+0.871_018+0.809_S-528,S-528,0,74.33333333333333
0.0,C000462,002+0.164,000+0.000,S-462,0.0,2.161,C000462_000+0.000_002+0.164_S-462,S-462,0,46.75
0.0,C000457,000+0.035,000+0.000,S-457,0.0,0.035,C000457_000+0.000_000+0.035_S-457,S-457,0,73.25
0.0,C000454,003+0.330,003+0.153,S-454,0.0,0.177,C000454_003+0.153_003+0.330_S-454,S-454,0,185
2.0,C000453,001+0.572,000+0.000,S-453,152.18451990751274,1.632,C000453_000+0.000_001+0.572_S-453,S-453,10,2205
0.0,C000451,038+0.445,034+0.596,S-451,0.0,3.795,C000451_034+0.596_038+0.445_S-451,S-451,0,242
0.6,C000451,034+0.596,028+0.555,S-451,93.73055301918598,5.962,C000451_028+0.555_034+0.596_S-451,S-451,3,294
0.2,C000451,024+0.028,015+0.555,S-451,12.013318767435008,8.353,C000451_015+0.555_024+0.028_S-451,S-451,1,545.75
0.0,C000449,016+0.599,010+0.588,S-449,0.0,6.011,C000449_010+0.588_016+0.599_S-449,S-449,0,53
0.0,C000449,000+0.724,000+0.296,S-449,0.0,0.428,C000449_000+0.296_000+0.724_S-449,S-449,0,302.6666666666667
0.0,C000449,000+0.296,000+0.000,S-449,0.0,0.296,C000449_000+0.000_000+0.296_S-449,S-449,0,313.6666666666667
0.4,C000448,030+0.174,027+0.446,S-448,531.590215467566,2.723,C000448_027+0.446_030+0.174_S-448,S-448,2,75.66666666666667
0.4,C000448,016+0.373,004+0.357,S-448,251.51838425998454,12.013,C000448_004+0.357_016+0.373_S-448,S-448,2,36.25
0.0,C000447,002+0.086,000+0.034,S-447,0.0,2.042,C000447_000+0.034_002+0.086_S-447,S-447,0,127
1.4,C000471,003+0.034,001+0.496,S-471,550.3370603794349,1.536,C000471_001+0.496_003+0.034_S-471,S-471,7,453.5
0.0,C000446,000+1.025,000+0.056,S-446,0.0,0.969,C000446_000+0.056_000+1.025_S-446,S-446,0,363.25
0.8,C000444,019+1.259,009+0.434,S-444,234.63927118649053,10.335,C000444_009+0.434_019+1.259_S-444,S-444,4,90.33333333333333
0.6,C000444,009+0.434,000+0.000,S-444,104.78772971452587,9.445,C000444_000+0.000_009+0.434_S-444,S-444,3,166
0.6,C000441,004+0.380,003+0.159,S-441,319.55578984249865,1.186,C000441_003+0.159_004+0.380_S-441,S-441,3,433.5
