SEGMENT_KEY,CORRIDOR,CORR_MP_FLOAT,CORR_ENDMP_FLOAT,DEPT_ID,SEC_LNT_MI,SIGNED_ROUTE,TOTAL_CRASHES,AVG_CRASHES,PER_100M_VMT,TYC_AADT
C000015_128+0.991_129+0.292_I-15,C000015,128.991,129.292,I-15,0.306,I-15,9,1.8,147.72513034356993,10903.5
C000016_000+0.000_000+0.061_N-16,C000016,0.0,0.061,N-16,0.061,BR I-90/US-87,6,1.2,235.7922245604034,22845.0
C000037_046+0.347_050+0.697_N-37,C000037,46.347,50.697,N-37,4.309,US-212,6,1.2,28.920448811357996,2636.75
C000015_127+0.736_128+0.991_I-15,C000015,127.736,128.991,I-15,1.254,I-15,26,5.2,81.00073928028883,14018.0
C000020_062+0.533_063+0.177_N-20,C000020,62.533,63.177,N-20,0.618,MT-16,0,0.0,0.0,4413.25
C000021_004+0.587_005+0.007_P-21,C000021,4.587,5.007,P-21,0.352,BR I-15,1,0.2,46.29009273809025,3361.0
C000015_126+0.078_127+0.736_I-15,C000015,126.078,127.736,I-15,1.652,I-15,32,6.4,53.69849675065597,19755.0
C000015_256+0.154_270+0.161_I-15,C000015,256.154,270.161,I-15,14.009,I-15,122,24.4,97.13381136991251,4910.0
C000029_088+0.615_088+0.859_N-29,C000029,88.615,88.859,N-29,0.245,MT-41,6,1.2,240.40721255495012,5578.75
C000015_122+0.110_124+0.260_I-15,C000015,122.11,124.26,I-15,2.146,I-15,53,10.6,62.478069160353,21648.0
C000015_110+0.978_116+0.090_I-15,C000015,110.978,116.09,I-15,5.122,I-15,33,6.6,76.13671485243367,4634.25
C000335_001+0.742_001+0.742_S-335,C000335,1.742,1.742,S-335,0.0,S-335,0,0.0,,437.0
C000282_000+0.000_000+0.063_S-282,C000282,0.0,0.063,S-282,0.063,S-282,0,0.0,0.0,5282.5
C000020_051+0.472_051+0.728_N-20,C000020,51.472,51.728,N-20,0.257,MT-16,15,3.0,427.89455562200476,7470.0
C001207_001+0.298_001+0.432_P-118,C001207,1.298,1.432,P-118,0.135,S-570,0,0.0,0.0,15001.0
C000015_119+0.690_121+0.001_I-15,C000015,119.69,121.001,I-15,1.329,I-15,15,3.0,82.90096874702984,7456.0
C000069_037+0.219_037+0.635_P-69,C000069,37.219,37.635,P-69,0.416,MT-2/MT-69,4,0.8,227.76031655841552,2312.0
C000358_017+0.667_017+0.768_S-358,C000358,17.667,17.768,S-358,0.101,S-358,0,0.0,0.0,246.75
C000015_102+0.260_110+0.978_I-15,C000015,102.26,110.978,I-15,8.753,I-15,34,6.8,46.58920591492061,4566.0
C000212_014+0.478_017+0.612_S-212,C000212,14.478,17.612,S-212,3.094,S-212,18,3.6,213.25578693249236,1494.0
C000015_092+0.873_093+0.225_I-15,C000015,92.873,93.225,I-15,0.353,I-15,1,0.2,32.95247712641366,4708.0
C000203_010+0.497_010+0.517_S-203,C000203,10.497,10.517,S-203,0.02,S-203,2,0.4,927.6617700658575,5903.5
C000015_085+0.661_092+0.873_I-15,C000015,85.661,92.873,I-15,7.251,I-15,38,7.6,76.05724043424648,3773.5
C000384_003+0.191_015+0.538_S-384,C000384,3.191,15.538,S-384,12.29,S-384,3,0.6,65.85254453639416,203.0
C000083_010+0.119_012+0.076_P-83,C000083,10.119,12.076,P-83,1.964,MT-83,10,2.0,116.52390882912461,2393.0
C000432_000+0.182_008+0.019_S-432,C000432,0.182,8.019,S-432,7.81,S-432,0,0.0,0.0,178.75
C000015_063+0.596_074+0.685_I-15,C000015,63.596,74.685,I-15,11.174,I-15,32,6.4,40.05979953616126,3915.0
C000015_037+0.056_044+0.239_I-15,C000015,37.056,44.239,I-15,7.179,I-15,25,5.0,47.914276100831344,3980.25
C000022_048+0.865_055+0.898_N-22,C000022,48.865,55.898,N-22,7.248,MT-16/MT-5,7,1.4,45.52476472467569,1161.8
C001020_004+0.255_004+0.325_N-113,C001020,4.255,4.325,N-113,0.07,BR I-90,7,1.4,849.8198020846164,6444.25
C000043_002+0.757_004+0.919_N-43,C000043,2.757,4.9190000000000005,N-43,2.143,US-191,9,1.8,153.50096987399007,1498.3333333333333
C000015_029+0.384_037+0.056_I-15,C000015,29.384,37.056,I-15,7.676,I-15,24,4.8,40.46036939024679,4232.0
C001207_000+0.255_000+0.426_N-118,C001207,0.255,0.426,N-118,0.171,BR I-90,0,0.0,0.0,14430.5
C000015_014+0.910_023+0.533_I-15,C000015,14.91,23.533,I-15,8.589,I-15,25,5.0,42.78128076962549,3726.0
C000015_009+0.280_014+0.910_I-15,C000015,9.28,14.91,I-15,5.631,I-15,29,5.8,86.2180034565899,3271.25
C000021_000+0.000_000+0.083_P-21,C000021,0.0,0.083,P-21,0.083,BR I-15,0,0.0,0.0,630.75
C000272_000+0.448_001+0.218_S-272,C000272,0.448,1.218,S-272,0.77,S-272,1,0.2,37.85540963964143,1878.8
C000050_076+0.377_076+0.766_N-50,C000050,76.377,76.766,N-50,0.389,US-191/US-20/US-287,15,3.0,144.99242204984077,14564.5
C000251_016+0.675_026+0.697_S-251,C000251,16.675,26.697,S-251,10.008,S-251,1,0.2,60.80081778559143,90.0
C000343_017+0.916_022+0.233_S-343,C000343,17.916,22.233,S-343,4.334,S-343,0,0.0,0.0,109.25
C000015_000+0.314_009+0.280_I-15,C000015,0.314,9.28,I-15,8.983,I-15,46,9.2,85.72784824725115,3271.25
C000015_000+0.000_000+0.314_I-15,C000015,0.0,0.314,I-15,0.314,I-15,5,1.0,266.5789465539522,3271.25
C000050_000+0.362_000+0.536_N-50,C000050,0.362,0.536,N-50,0.174,US-191/US-20/US-287,10,2.0,750.0919402693029,4196.0
C000014_270+0.862_270+0.907_P-14,C000014,270.862,270.907,P-14,0.045,US-12,0,0.0,0.0,1295.0
C000014_270+0.828_270+0.862_P-14,C000014,270.828,270.862,P-14,0.034,US-12,2,0.4,2513.3153246750376,1281.75
C000014_265+0.106_269+0.537_P-14,C000014,265.106,269.537,P-14,4.415,US-12,6,1.2,201.96786616184644,368.5
C000063_001+0.737_004+0.991_N-63,C000063,1.737,4.991,N-63,3.23,MT-3/US-191,6,1.2,54.51754810293162,1866.0
C000014_220+0.774_252+0.352_P-14,C000014,220.774,252.352,P-14,31.613,US-12,21,4.2,197.7128913175159,184.0
C000529_001+0.965_009+0.980_S-529,C000529,1.9649999999999999,9.98,S-529,8.002,S-529,0,0.0,0.0,87.33333333333333
C000055_000+0.000_002+0.149_N-55,C000055,0.0,2.149,N-55,2.11,MT-55,13,2.6,178.90333455943588,1886.0
C000042_076+0.029_076+0.155_P-42,C000042,76.029,76.155,P-42,0.126,MT-24,7,1.4,467.35375145791,6510.0
C000014_204+0.030_205+0.800_P-14,C000014,204.03,205.8,P-14,1.761,US-12,1,0.2,82.43480641171018,377.25
C000014_170+0.169_176+0.924_P-14,C000014,170.169,176.924,P-14,6.74,US-12,5,1.0,63.97872917105293,635.0
C000014_169+0.750_170+0.169_P-14,C000014,169.75,170.169,P-14,0.439,US-12,1,0.2,113.48493997167856,1099.25
C000015_121+0.001_121+0.395_I-15,C000015,121.001,121.395,I-15,0.394,I-15,13,2.6,254.8501002380629,7090.25
C000014_169+0.474_169+0.750_P-14,C000014,169.474,169.75,P-14,0.276,US-12,1,0.2,130.99333030953568,1514.75
C000014_169+0.268_169+0.474_N-14,C000014,169.268,169.474,N-14,0.206,MT-3/US-12,0,0.0,0.0,4423.5
